domanda,risposta,risposta_alternativa,tipo
"Scrivi la formula per calcolare il numero di segmenti mediati (M) nel metodo di Welch","M = 1 + \left\lfloor\frac{T_{epoch}-T_{win}}{T_{shift}}\right\rfloor","M = 1 + floor((Tepoch - Twin)/Tshift)","formula"
"Scrivi la formula del Teorema del Limite Centrale per la riduzione della deviazione standard del rumore tramite averaging (sigma_avg)","\sigma_{avg} = \frac{\sigma_{raw}}{\sqrt{N_{trial}}}","sigma_avg = sigma_raw / sqrt(Ntrial)","formula"
"Scrivi la formula della varianza del segnale di uscita di un filtro media mobile (sigma_MA^2) di lunghezza L","\sigma^2_{MA} = \frac{\sigma^2_{input}}{L}","sigma_MA^2 = sigma_input^2 / L","formula"
"Scrivi la formula della latenza di commutazione (tswitch) in un algoritmo a doppia soglia con ampiezza Ac e durata Tc","t_{switch} = t_0 + T_c","tswitch = t0 + Tc","formula"
"Scrivi la formula per calcolare il numero di bin in frequenza (Nbin) in una banda spettrale con risoluzione df","N_{bin} = \frac{f_{high} - f_{low}}{\Delta f}","Nbin = (fhigh - flow) / df","formula"
"Scrivi la formula della lunghezza del vettore di feature di un classificatore BCI con Nch canali ed Nbin bin per canale","\text{len} = N_{ch} \cdot N_{bin}","len = Nch * Nbin","formula"
"Scrivi la formula per la densità (k) di un grafo non orientato","k = \frac{2L}{N(N-1)}","k = 2*L / (N * (N - 1))","formula"
"Scrivi la formula per la densità (k) di un grafo orientato","k = \frac{L}{N(N-1)}","k = L / (N * (N - 1))","formula"
"Scrivi la formula dell'In-Degree (gi^IN) per un nodo i in un grafo diretto","g_i^{IN} = \sum_{j} a_{ji}","gi^IN = sum_j(aji)","formula"
"Scrivi la formula dell'Out-Degree (gi^OUT) per un nodo i in un grafo diretto","g_i^{OUT} = \sum_{j} a_{ij}","gi^OUT = sum_j(aij)","formula"
"Scrivi la formula per calcolare l'efficienza globale (Eg) di un grafo","E_g = \frac{1}{N(N-1)} \sum_{i \neq j} \frac{1}{d_{ij}}","Eg = (1/(N*(N-1))) * sum_{i != j} (1/dij)","formula"
"Scrivi la formula della divisibilità (D) per una partizione di una rete","D = \frac{L}{L + L_{inter}}","D = L / (L + Linter)","formula"
"Scrivi la formula per il calcolo della modularità (Q) di un grafo","Q = \frac{1}{2L} \sum_{i,j} \left(a_{ij} - \frac{g_i g_j}{2L}\right) \delta(C_i, C_j)","Q = (1/(2*L)) * sum_{i,j} (aij - (gi * gj)/(2*L)) * delta(Ci, Cj)","formula"
"Scrivi la formula della coerenza ordinaria (Cxy(f)) nel dominio della frequenza","C_{xy}(f) = \frac{|P_{xy}(f)|^2}{P_{xx}(f)P_{yy}(f)}","Cxy(f) = |Pxy(f)|^2 / (Pxx(f) * Pyy(f))","formula"
"Scrivi la formula per calcolare l'indice di causalità di Granger (Gy->x) nel dominio del tempo","G_{y \to x} = \ln\left(\frac{V_{x|x}}{V_{x|x,y}}\right)","Gy->x = ln(Vx|x / Vx|x,y)","formula"
"Scrivi la formula per calcolare la Partial Directed Coherence (PDC) tra il nodo j e il nodo i alla frequenza f","\pi_{ij}(f) = \frac{|\tilde{A}_{ij}(f)|}{\sqrt{\sum_{m=1}^N |\tilde{A}_{mj}(f)|^2}}","pi_ij(f) = |A_ij(f)| / sqrt(sum_m(|A_mj(f)|^2))","formula"
