question,answer,option_b,option_c,option_d
"If a group of neurons fires asynchronously, the amplitude of the resulting EEG signal is proportional to:","The square root of the number of neurons (N)","The total number of neurons (N)","The square of the number of neurons (N^2)","Zero, because complete cancellation always occurs"
"The EEG mu rhythm differs from the visual alpha rhythm primarily in:","Central localization (sensorimotor area) and arched waveform","Significantly higher frequency of oscillation","Origin in the occipital lobe and perfectly sinusoidal waveform","Lack of modulation during motor tasks"
"What is observed in the sensorimotor cortex during motor imagery?","An event-related desynchronization (ERD) in the mu and beta bands","An event-related synchronization (ERS) in the delta band","A visual evoked potential (VEP)","An increase in heart rate"
"Gold electrodes are ideal for recording slowly varying EEG potentials (below 0.1 Hz) because they are non-polarizable.","F","","",""
"Electrode-skin contact impedance must be measured using:","Alternating current (AC)","Direct current (DC)","No current, it is measured passively","A high-voltage voltmeter"
"The Common-Mode Rejection Ratio (CMRR) of a differential biomedical amplifier is defined as:","Ratio of differential gain (Gd) to common-mode gain (Gc)","Ratio of common-mode gain (Gc) to differential gain (Gd)","Difference between differential gain and common-mode gain","Ratio of input impedance to output impedance"
"A strong unbalance of contact impedances between the two input electrodes improves the practical CMRR of the acquisition system.","F","","",""
"In the international 10-20 system, electrodes placed on the left side of the hemisphere are designated by:","Odd numbers","Even numbers","The letter z","Roman numerals"
"According to Shannon's theorem, to avoid aliasing, the sampling frequency (fs) must be:","Greater than twice the maximum frequency of the signal (2 * fmax)","Equal to the maximum frequency of the signal (fmax)","Half of the maximum frequency of the signal (fmax / 2)","Equal to 50 Hz"
"How is aliasing prevented in an analog-to-digital conversion (ADC) system?","By applying an analog low-pass filter before sampling","By applying a digital low-pass filter after sampling","By increasing the electrode impedance","By applying a 50 Hz notch filter"
"The standard deviation of quantization noise in an ADC is equal to LSB / sqrt(12).","T","","",""
"Which type of digital filter can be designed to have perfectly linear phase?","FIR filter","IIR filter","Butterworth filter","Chebyshev filter"
"The Butterworth filter is characterized by having a frequency response that is:","Maximally flat in the passband (no ripple)","With regular ripple in both passband and stopband","With instantaneous vertical roll-off","With linear phase in all bands"
"The Welch method reduces the variance of the PSD estimate at the expense of frequency resolution.","T","","",""
"What is the fundamental characteristic of a BCI system according to Wolpaw's definition?","It measures CNS activity and converts it into an artificial output without using nerves and muscles","It always requires minimal muscle movement of the eyes","It only and exclusively uses fMRI signals","It only works in open-loop mode without feedback"
"In Farwell and Donchin's P300 Speller paradigm, the target character is identified as:","The intersection of the row and column that elicit the maximum P300 response","The letter that moves the fastest on the screen","The row or column that never flashes","The character selected via eye-tracking"
"In SMR-based rehabilitative BCIs, real-time feedback is optional and does not influence neuroplasticity.","F","","",""
"In Pichiorri et al. (2015) study on post-stroke rehabilitation, the BCI group showed:","A significantly higher motor improvement than standard therapy evaluated with the Fugl-Meyer scale","No clinical difference compared to the control group","A recovery due exclusively to peripheral axonal regeneration","A decrease in interhemispheric connectivity"
"The amplitude of EMG recorded from head and neck muscles compared to scalp EEG is typically:","About 10-100 times higher (up to 1 mV)","Identical, in the microvolt range","Much lower, in the nanovolt range","Constant at 50 Hz"
"In the Hodgkin-Huxley model, sodium and potassium conductances are constant in time and independent of the membrane potential.","F","","",""
"In the Hodgkin-Huxley model, the variable 'h' represents:","The probability that sodium channels are not inactivated (inactivation variable)","The probability of opening of potassium channels","The activation rate of calcium channels","The rise time constant of the potential"
"The voltage clamp technique is used to prevent the mutual interaction between ionic conductance and membrane potential, keeping the latter constant.","T","","",""
"Which mathematical function describes an instantaneous opening of post-synaptic channels followed by an exponential decay (typical of ionotropic receptors)?","Simple exponential function","Alpha function","Difference of two exponentials","Sigmoid function"
"Synaptic short-term depression is primarily caused by:","Temporary depletion of available neurotransmitter vesicles in the pre-synaptic terminal","Accumulation of residual calcium in the pre-synaptic terminal","Irreversible saturation of post-synaptic receptors","Programmed neuronal death"
"Functional connectivity describes the direct causal influence of one neural system on another based on parameters of an autoregressive model.","F","","",""
"What is the main limitation of bivariate ordinary coherence in estimating brain networks?","It is non-directional and suffers from the common source problem","It requires surgical removal of electrodes","It cannot be calculated in the frequency domain","It only provides negative values"
"Partial Directed Coherence (PDC) is a connectivity measure that is:","Directional, multivariate, and defined in the frequency domain","Non-directional, bivariate, and defined in the time domain","Anatomical, static, and non-invasive","Monopolar, based on a single electrode"
"In Small-World networks, high local efficiency (segregation) is combined with high global efficiency (integration).","T","","",""
"In graph theory, modularity (Q) quantifies:","The tendency of a network to divide into modules or communities compared to an equivalent random network","The minimum distance between the most distant nodes of the graph","The overall density of edges in the graph","The mechanical pulling force of axonal fibers"
"Cerebral grey matter is predominantly composed of:","Soma (cell bodies) and dendrites of neurons","Myelinated axons","Cerebrospinal fluid","Extracellular sodium-potassium pumps"
"Stellate cells of the cortex generate 'closed field' electrical fields that cancel out at a distance and do not contribute significantly to the EEG.","T","","",""
"In Penfield's somatosensory homunculus, the extent of the cortical area dedicated to each part of the body is proportional to:","Receptor density and functional complexity of the body part","Physical size and volume of the corresponding limb","Physical distance of the limb from the spinal cord","Bone weight of the limb"
"The Wiener-Khinchin theorem relates the correlation function in the time domain to the power spectral density (PSD) in the frequency domain.","T","","",""
