domanda,risposta
"A Modularity equal to -0.3 is a plausible result.","T"
"A Divisibility equal to 0 is a plausible result.","F"
"The inactivation of the voltage-gated Na+ channel is responsible for the absolute refractory period.","T"
"In reference to the visual cortex disparity tuning curve: from the curve, if the retinal disparity is equal to -0.5, I can infer which firing rate will be produced by the neuron.","T"
"Undirected graphs produce symmetrical adjacency matrices.","T"
"Using Partial Directed Coherence completely solves the problem of the hidden (common) source.","F"
"La velocità di conduzione della fibra muscolare (MFCV) è tipicamente compresa nell'intervallo 2-6 m/s.","T"
"La fatica muscolare provoca un aumento della MFCV.","F"
"La motor imagery visuale (in terza persona) è più efficace di quella cinestesica per controllare un BCI basato su ritmi sensomotori.","F"
"Nello studio di Pichiorri et al. (2015), il gruppo BCI ha mostrato un incremento significativo dell'accoppiamento interemisferico specificamente nelle bande beta1 e beta2.","T"
"La sostanza bianca è costituita principalmente dai corpi cellulari e dai dendriti dei neuroni.","F"
"I neuroni appartenenti alla stessa colonna verticale corticale tendono ad avere lo stesso comportamento in risposta al medesimo stimolo.","T"
"Il cervello umano adulto perde completamente la plasticità sinaptica al di fuori del periodo critico dell'infanzia.","F"
"Lo smascheramento (unmasking) di connessioni sinaptiche latenti è uno dei meccanismi biologici alla base della plasticità cerebrale.","T"
"Nel termine elettrico dell'equazione elettrochimica, la valenza z dello ione del calcio (Ca++) è pari a +1.","F"
"Il modello di Izhikevich combina un buon realismo biologico con un basso costo computazionale, rendendolo adatto alla simulazione di grandi reti neuronali.","T"
"La tecnica del voltage clamp blocca la conduttanza di membrana per studiare come cambia il potenziale in funzione del tempo.","F"
"Nel modello di Hodgkin-Huxley, la variabile m rappresenta la probabilità di inattivazione dei canali del sodio.","F"
"La variabilità temporale del canale del potassio nel modello di Hodgkin-Huxley richiede tre stadi (aperto, chiuso, inattivo).","F"
"La connettività efficace descrive la dipendenza statistica tra i segnali senza basarsi su un modello generativo causale.","F"
"In un grafo non orientato, il grado (degree) di un nodo corrisponde alla somma degli elementi sulla riga corrispondente della matrice di adiacenza.","T"
"Il valore minimo della Divisibilità (D) per una partizione di una rete è pari a zero.","F"
"The mu rhythm and the alpha rhythm have approximately the same frequency of oscillation and originate in different lobes of the cerebral cortex.","T"
"The heart activity is likely to contaminate an EEG recording if the reference electrode is not placed on the head.","T"
"Event-Related Desynchronization/ Synchronization (ERD/S) quantify the amount of coupling between signals on two EEG channels.","F"
"Induced activity is often examined by analyzing the envelope of the EEG in a relevant frequency band, i.e. by rectifying or squaring the pass-band filtered trials before averaging them.","T"
"In an ADC, quantization introduces a noise whose amplitude is proportional to the width of the quantization interval (VLSB): σ_quant = 1/sqrt(12) * VLSB.","T"
"The artifact generated by eye movements can reach amplitudes up to 5 μV in the EEG recordings.","F"
"The Central Limit Theorem (CLT) states that the average of N zero-mean independent identically distributed signals approaches zero for N -> ∞.","T"
"An IIR filter can be designed to have 'linear phase', so that they do not introduce time-domain distortions in the waveform of the output signal.","F"
"The CMRR of a bipolar amplifier measures the ratio between the gain of their average with respect to the electrical ground and the gain of the potential difference between the input electrodes.","F"
"Aliasing occurs when an analog signal is sampled using a limited input range of the ADC.","F"
"Despite being more expensive, gold electrodes should be preferred to Ag/AgCl electrodes since they allow recording of extremely slow-changing EEG potentials.","F"
"In an EEG recording, a session contains one or more trials, each of which contains one or more runs.","F"
"The input impedance of a biosignal amplifier must be many orders of magnitude higher than the contact impedance of the electrodes. It is usual to have input impedances in the order of 10^8 Ω.","T"
"The reconstruction of an analog signal from its sampled version is equivalent to the sum a set of sinc(·) functions, one for each sample.","T"
"The Inter-Stimulus Interval (ISI) measures the time interval between two successive stimuli in a train.","F"
"It is more likely that samples of zero mean a gaussian noise will have amplitude in the range [-0.5,0] rather than in [0,0.5].","F"
"In ERP analysis, the EEG continuous recording must be segmented into epochs (trials) of fixed duration, each aligned to a repetition of the event.","T"
"The η (eta) rhythm is an oscillatory component of the spontaneous EEG.","F"
"ARVx = sqrt(1/N * sum(x[i]^2)), where the sum extends on the N samples of the signal x[i].","F"
"The amplitude of a P300 event related potential be voluntarily modulated through the exercise of motor imagery, to build a cursor control based on a BCI.","F"
"The measurement of two monopolar EEG channels requires four electrodes – two collecting the potentials fed to the non-inverting input of the differential amplifier, one providing the reference potential and one providing the ground potential.","T"
"The frequency response of a filter in the stopband should never be plotted in logarithmic units (i.e. with the gain is expressed in dB).","F"
"The DFT of a signal represents the amplitude Ai and initial phases Φi of sinewave components of the signal at frequencies fi ranging from 0Hz (included) to the sampling frequency (excluded).","T"
"A negative peak in a ERP recorded on a specific subject with a latency of 108ms may still be named N100, if it matches the physiological phenomenon of the nominal N100 component.","T"
"The oscillations of mu rhythm are more 'arc-shaped' than the alpha rhythm's, which is comparatively a more symmetrical sinewave.","T"
"The potential at the peak of the EP component P20 is higher than the potential at the peak of the N100 component.","T"
"The CMRR of an EEG amplifier should be higher than 90 dB.","T"
"When sampling at 100 Hz, a 75 Hz analog signal component will alias and appear at 25 Hz.","T"
"The RMS and the standard deviation of a zero-mean signal have the same value (assume that the number of samples N -> ∞).","T"
"Synchronized averaging of N EEG trials produces N values each corresponding to the average value of the potential in each trial.","F"
"A rectangular window is always the best choice for spectral analysis because it has the narrowest main lobe and no sidelobes.","F"
"The P300 ERP generated by attending a target stimulus is exploited to build virtual keyboards based on a BCI.","T"
"In a 3-channel EEG recording, if the potentials at a given instant are +10μV, −5μV, and −15μV, the Common Average Reference (CAR) value is +10μV.","F"
"The RMS is the average of the squared value of the samples of a signal.","F"
"The measurement of a single EMG signal requires three electrodes – two as input to the differential amplifier and one to provide the ground potential.","T"
"Notch filters effectively remove powerline noise because they reject all signals above their corner frequency.","F"
"An eyeblink produces an artifact which often interferes with the analysis of the beta band of the EEG.","F"
"Quantization divides the input range of the ADC into (approximately) NBITS intervals, where NBITS is the number of bits of the ADC.","F"
"The most common and theoretically perfect method for reconstructing an analog signal from its samples is by connecting the sample points with straight lines (linear interpolation).","F"
"The DFT of a digital signal with N samples yields N/2 values of the signal’s spectrum.","F"
"The SOA is always greater than the ISI.","T"
"The proper (visual) alpha rhythm is generated in the frontal lobe of the cerebral cortex.","F"
"Given 100 independent and identically distributed random variables with variance equal to 4, the variance of their average is 0.04?","T"
"A single cell of the muscular tissue is known as a muscle fiber.","T"
"A ‘run’ is a portion of recording in an experimental protocol that contains no breaks, i.e. all samples contained therein have been acquired 1/fs seconds after the previous (fs being the sampling frequency).","T"
"A key advantage of FIR filters is their ability to be designed with linear phase, thus avoiding the introduction of time-domain distortions.","T"
"The Butterworth filter is a design method in the family of Finite Impulse Response filters.","F"
"Averaging raw EEG trials before computing the power spectrum is the standard method for analyzing non-phase-locked induced activity.","F"
"In a P300-based BCI, the user subjectively assigns saliency (relevance) to a stimulus so that their brain produces a P300 ERP every time the stimulus is administered.","T"
"Event-Related Desynchronization/Synchronization (ERD/S) quantify phase-locked brain activity in response to an event.","F"
"A FIR filter needs to be of a higher order to achieve the same quality specifications than a IIR filter.","T"
"The N20 component of an EP occurs before the stimulus (negative latency) while the P300 occurs after the stimulus (positive latency).","F"
"EEG signals recorded in monopolar configuration can be re-referenced to the Common Average Reference (CAR), by subtracting from each channel the instantaneous average of all channels. In ideal conditions, this would approximate taking the reference potential at infinity.","T"
"Evoked Potentials are deflection of the EEG signal following the presentation of a sensory input.","T"
"When recording EPs, the spontaneous EEG is to be considered a noise that completely masks the EPs on the recorded waveform.","T"
"In ERP analysis, ‘trials’ are portions of the continuous EEG recording that start exactly at the time when a sensory stimulus was delivered.","F"
"Aliasing occurs when an artifact corrupts an otherwise healthy EEG recording.","F"
"The roll-off of a filter is the slope of its frequency response in the transition band. It is high when the transition band is narrow.","T"
"The Shannon’s theorem states that a continuous signal can be properly sampled only if it does not contain frequency components above the sampling rate.","F"
"The contact impedances of a pair of electrodes should be large compared to the input impedance of the differential amplifier connected to them, otherwise the amplitude of the signal would be reduced as effect of the potential divider.","F"
"Movements of the subject’s head produces artifacts only in the gamma band.","F"
"The powerline noise affects a very narrow frequency band of the recorded signal around 50 Hz (in Europe) and odd multiples of (150 Hz, 250 Hz, …).","T"
"The frequency spectrum of white noise is flat, i.e. it has the same power at any frequency.","T"
"An EEG recording is said to be bipolar when it comprises exactly two channels.","F"
"The RMS and the ARV of a zero-mean signal have the same value (assume that the number of samples N -> ∞).","F"
"In an ADC, quantization introduces a noise whose amplitude is proportional to the number L of discrete amplitude levels.","F"
"EEG electrodes whose first letter of the label is “C” (e.g. “Cz”) are located on the central region of the head, i.e. the region between the left and the right hemisphere.","F"
"The 'waxing and waning' of the alpha rhythm is a change of amplitude whose duration is in the order of magnitude of 1 second.","T"
"Evoked potential is synonymous of Event-Related Potentials.","F"
"The alpha rhythm can be observed by filtering the spontaneous EEG signal using a narrowband filter, with cutoff frequencies at 14 and 30 Hz (approximately).","F"
"The theta rhythm includes oscillations with a frequency of 5 Hz.","T"
"With respect to the alpha rhythm, the oscillations of mu rhythm are more “arc-shaped”, rather than resembling a regular sinewave.","T"
"The input impedance of a biosignal amplifier must be many orders of magnitude higher than the contact impedance of the electrodes.","T"
"The International 10-20 System for EEG electrodes placement takes its name from the fact that it describes the standard position of a set of at least 10 and up to 20 electrodes.","F"
"Artifacts on biosignal recordings cannot have biological origin.","F"
"EMG artifacts on a EEG recording mainly affects the alpha band and specifically the mu rhythm.","F"
"EMG artifact can easily appear on the EEG recording unless the subjects are specifically instructed by the experimenter on how to relax their face muscles.","T"
"The potential at the peak of the EP component N20 is lower than the potential at the peak of the P100 component.","T"
"Induced activity is best analyzed by applying synchronized averaging to the EEG trials.","F"
"The Nyquist frequency is the highest frequency of a component in an analog signal.","F"
"Aliasing can be prevented by applying a digital low-pass filter with cutoff frequency lower than the Nyquist frequency.","F"
"Sweating can affect the EEG, causing an increase of contact impedance and an increase of powerline noise.","F"
"The SOA equals the ISI plus the duration of the stimulus.","T"
"In the electrode labels of the International 10-20 System, odd numbers designate electrodes on the right side of the head.","F"
"In an ADC, quantization introduces a noise whose amplitude is proportional to the width of the quantization interval: σ_quant = 1/sqrt(12) * LSB.","T"
"The sample variance of a signal is given by s_X^2 = 1/(N-1) * sum((x_i - mean)^2), where the sum extends on the N samples of the signal X.","T"
"The output of FIR filters is the linear combination of samples of the input. The output of IIR filters combines both samples of the input and past samples of the output.","T"
"The amplitude of sensorimotor rhythms can be voluntarily modulated through the exercise of motor imagery, to build a cursor control based on a BCI.","T"
"The amplitude of the mu rhythm is increased at the beginning of a motor task.","F"
"In monopolar EEG recordings, the reference electrode is placed on scalp position that are assumed to be far from the electrical sources of interest, such as the earlobes.","T"
"The amplitude of the electromyogram (EMG) originated from muscles never exceed 10 μV.","F"
"Movement of the subject’s head may produce slow artifacts that are less pronounced when non-polarizable electrodes are used.","T"
"Digital processing can remove all significant artifacts, and thus it is not worth using the measurement time to reduce their presence on the raw recording.","F"
"Powerline noise is an artifact caused by the capacitive coupling between the power supply conductors and the recording setup including the subject.","T"
"The probability distribution of the average of N independent and identically distributed random variables is a normal distribution independently of the value of N.","T"
"The higher is the sampling frequency of a digital signal, the higher is the frequency resolution of its spectrum.","F"
"The spectral leakage phenomenon is observed, for instance, when comparing the spectrum of a signal with the spectrum of a short section of the same signal.","T"
"The Inter-Stimulus Interval (ISI) equals the SOA minus the ITI.","F"
"The mu rhythm and the alpha rhythm are EEG components that differ for their fundamental frequency of oscillation.","F"
"In an ADC, quantization introduces a noise whose amplitude is proportional to the number L of discrete amplitude levels: σ_quant = 1/sqrt(12) * L = 1/sqrt(12) * 2^NBIT.","F"
"The synchronized average of N trials containing only spontaneous EEG whose variance is var_trial = σ^2 is a signal whose variance var_avg = σ^2 / N.","T"
"The CMRR of a bipolar amplifier measures how much higher is the gain of the potential difference between the input electrodes with respect to the gain of their average with respect to the electrical ground.","T"
"In analog-to-digital conversion, each spectral component of the analog signal should have frequency below the Nyquist frequency.","T"
"As a preliminary step to EEG data analysis, one or more channels can be removed from the dataset if they are extensively contaminated by artifacts.","T"
"The advantage of a high CMRR amplifier is that it suppresses high frequency disturbance.","F"
"The purpose a filter is to allow desired spectral component of a signal to pass almost unaltered, while attenuating undesired spectral components.","T"
"In an ERP, the response to a stimulus has a reduced amplitude when the SOA is too short.","T"
"The Inter-Stimulus Interval (ISI) measures the time interval between the end of a stimulus and the beginning of the following one.","T"
"Appropriate application of a high-pass digital filter may prevent saturation by removing high amplitude slow artifacts.","F"
"Increasing the Inter-Electrode Distance (IED) in a bipolar recording decreases the signal amplitude and increases selectivity.","F"
"The EEG electrode Fz is located to the left of electrode Cz.","F"
"In a typical single-trial recording, the peak amplitude of an Evoked Potential is larger than the amplitude of the background spontaneous EEG.","F"
"In ERP analysis where preserving the exact shape of the waveform is critical, a linear-phase FIR filter is generally a better choice than an IIR filter.","T"
"A sudden upwards movement of the eyes generates a positive deflection of EEG potentials (EOG) on the Fz channel.","T"
"In Analog to Digital Conversion, the Nyquist frequency equals half of the sampling frequency.","T"
"An eyeblink produces an artifact which often interferes with the analysis of the beta band of the EEG.","F"
"The potential at the peak of the EP component P20 is lower than the potential at the peak of the N100 component.","F"
