domanda,risposta
"As a preliminary step to EEG data analysis, one or more channels can be removed from the dataset if they are extensively contaminated by artifacts","T"
"The proper (visual) alpha rhythm is modulated (synchronized, desynchronized) by opening and closing the eyes. This phenomenon is best observed on the frontal EEG channels.","F"
"Given two ranges of equal width A=[-0.1,+0.1] and B=[0.8,1.0], it is less likely that samples of a sinewave x=sin(t) will have amplitude in A rather than B.","T"
"A BCI system may replace functions that are physiologically subserved by nerves and muscles, by directly measuring brain activity and converting it to an artificial output.","T"
"The advantage of a high CMRR amplifier is that it suppresses high frequency disturbance.","F"
"The purpose a filter is to allow desired spectral component of a signal to pass almost unaltered, while attenuating undesired spectral components","T"
"The DFT of a signal represents the amplitude Ai and initial phases phi_i of sinewave components of the signal at frequencies fi ranging from 0Hz (included) to the sampling frequency (excluded).","T"
"The Inter-Stimulus Interval (ISI) equals the SOA minus the ITI.","F"
"Ion pumps are based on a passive membrane transportation mechanism.","F"
"Given that at a certain temperature T the Cl- equilibrium potential is equal to -80 mV, and the membrane potential is equal to -70 mV, the Cl- net current will be directed from the inside of the cell toward the outside.","F"
"In chemical synapses, when a neurotransmitter opens the K+ gated channels, the resulting PSP is an inhibitory one.","T"
"The continuous conduction is faster than the saltatory (myelinated) one","F"
"Two ipsilateral regions belong to the same hemisphere.","T"
"The unmasking of latent synaptic connections is part of the mechanisms behind brain plasticity.","T"
"The cortical pyramidal neurons are oriented tangentially to the cortical surface.","F"
"Synchronously activated neurons produce a larger EEG signal than the same amount of neurons when they are asynchronous.","T"
"Deep (subcortical) regions of the brain produce a less blurred scalp EEG than cortical ones.","F"
"In reference to the tuning curve of a visual cortex neuron, there are retinal disparity angles to which this neuron is “blind” (i.e., it doesn’t show any response).","T"
"If a time series is not Fourier-transformable, it is impossible to compute its PSD.","F"
"A necessary condition for a linear autoregressive (AR) model is that the time series to be modeled is wide-sense stationary.","T"
"PDC is a spectral, bivariate method.","F"
"The use of Ordinary Coherence can mitigate the problem of the common source.","F"
"A negative value of the Granger Index Gx→y should never occur if the two AR models that are compared to compute the index are correct.","T"
"In a graph, the distance d(i,j) between two nodes is given by the average length of the paths that link them.","F"
"In a graph, the Global Efficiency ∈[0, 1].","T"
"In an undirected graph, I cannot compute the indegree and the outdegree.","T"
"In the Nernst equation for the electrochemical equilibrium there is a term referred to diffusional forces and a term referred to electrical forces.","T"
"Given that at a certain temperature T the Cl- equilibrium potential is equal to -80 mV, and the membrane potential is equal to -70 mV, the Cl- net current will be a depolarizing one.","F"
"The temporal summation of PSPs does not depend on the temporal distance between subsequent action potentials in the presynaptic cell.","F"
"A hyperpolarization with respect to the resting membrane potential can cause the generation of an action potential.","F"
"The motor homunculus is located in the frontal lobe.","T"
"The short-term synaptic plasticity can involve a structural change in the post-synaptic membrane.","F"
"To measure the membrane potential over the soma of a neural cell in vitro, the correct procedure is to record extracellular measures.","F"
"In a cortical pyramidal neuron, thalamo-cortical synapses are located in the apical portion of its dendritic tree.","F"
"Radially symmetric neurons produce a closed field and therefore do not significantly contribute to scalp EEG.","T"
"Potentials recorded by electrodes which are at a close distance on the scalp are mutually independent.","F"
"The Spectral Matrix computed for any given pair of time series is always symmetrical.","T"
"Given two time series x and y, the Granger Causality Index Gx→y ∈[-∞, ∞].","F"
"When we have a limited amount of data, the Partial Directed Coherence (PDC) is the most accurate estimator of causality in the statistical sense.","F"
"The Ordinary Coherence is defined in the time domain.","F"
"A multivariate approach to the estimation of brain networks can always prevent the occurrence of the common source problem.","F"
"The Global Efficiency is normalized to the number N of nodes in the graph.","F"
"The voltage-gated K+ channel inactivation state is responsible for the absolute refractory period.","F"
"The voltage-gated Na+ channel is responsible for the repolarization phase of the action potential.","F"
"The long-term synaptic plasticity involves a structural change in the post-synaptic membrane.","T"
"The brain operates at the temporal scale of milliseconds.","T"
"The neurons’ spatial orientation affects the amplitude of EEG signals","T"
"The synchronicity of the neural activity affects the amplitude of EEG signals.","T"
"Scalp EEG is mainly produced by deep (subcortical) regions.","F"
"The electrical variation of the membrane potential that mainly contributes to EEG is the action potential.","F"
"When the firing rate is 55 Hz, I can infer which movement direction produced that response (on a directional tuning curve peaking at 55 Hz).","T"
"In reference to the directional tuning curve: from the curve I can conclude that this neuron is tuned to be more active in correspondence to a specific movement direction.","T"
"In reference to the directional tuning curve: the firing rate f in panel B was computed as the average of the neural response function across trials.","T"
"Random networks have a smaller Local Efficiency than regular (lattice) networks.","T"
"Divisibility and Modularity are measures of segregation of a network.","T"
"Undirected graphs are associated with symmetrical adjacency matrices.","T"
"The N20 component of an EP occurs before the stimulus (negative latency) while the P300 occurs after the stimulus (positive latency).","F"
"An EEG recording is said to be bipolar when it comprises exactly two channels","F"
"The RMS and the ARV of a zero-mean signal have the same value (assume that the number of samples N → ∞).","F"
