"Question","Answer","Option_B","Option_C","Option_D","Option_E","Type"
"Un robot deve compiere moto sincronizzato: k_v1=1.5, k_a1=1.2, k_v2=0.8, k_a2=1.8. Il fattore globale k e:","k = max(1.5, sqrt(1.2), 0.8, sqrt(1.8)) = max(1.5, 1.095, 0.8, 1.342) = 1.5","k = 1.8","k = 1.2","k = 0.8","","mc"
"Se k = 1.5 con T_old = 2.0 s, il nuovo tempo totale T_new vale:","3.0 s","1.33 s","2.0 s","4.5 s","","mc"
"Con k = 1.5, il picco di accelerazione si modifica come:","Si divide per 2.25 (k^2): A_new = A/2.25","Si divide per 1.5 (k)","Si moltiplica per 1.5","Si moltiplica per 2.25","","mc"
"formula: nel riscalamento a T_r fisso, V_bar in funzione di L T_bar T_r","\bar{V} = \frac{L}{\bar{T} - T_r}","","","","","formula"
"formula: nel riscalamento uniforme con fattore k, A_new in funzione di A e k","A_{new} = \frac{A}{k^2}","","","","","formula"
"formula: scrivi il fattore di riscalamento k_a in funzione di a_peak e a_max","\sqrt{\frac{a_{peak}}{a_{max}}}","","","","","formula"
"formula: scrivi T_new in funzione di T_old e k","T_{new} = k \cdot T_{old}","","","","","formula"
"Per la traiettoria PTP rest-to-rest con cubica, la velocita e continua ma l'accelerazione puo essere discontinua agli estremi.","V","","","","","tf"
"Nella quintica rest-to-rest il massimo di |q_dot| si raggiunge a tau = 0.5.","V","","","","","tf"
"Nella cubica q(tau) = q_i + Deltaq*(3*tau^2 - 2*tau^3), l'accelerazione agli estremi e nulla.","V","","","","","tf"
"Per la quintica, l'accelerazione agli istanti t=0 e t=T e imposta a zero.","V","","","","","tf"
"Nella quintica rest-to-rest q(tau) = q_i + Deltaq*(10*tau^3 - 15*tau^4 + 6*tau^5), la somma dei coefficienti e uguale a 1.","V","","","","","tf"
"La timing law trigonometrica s(tau) = (1 - cos(pi*tau))/2 garantisce velocita e accelerazione nulle ai bordi.","V","","","","","tf"
"La continuita C^2 implica che posizione, velocita e accelerazione siano continue nel tempo.","V","","","","","tf"
"Quante condizioni impone una traiettoria quintica PTP rest-to-rest?","6","4","5","8","","mc"
"Per la cubica rest-to-rest, il massimo di |q_dot| vale (con s in [0,1]):","3/(2T) (a tau=0.5)","6/T","1/(2T)","3/T","","mc"
"Nella quintica rest-to-rest, qual e la formula per il massimo dell'accelerazione?","60*|Deltaq|/T^2 * 0.0962","30*|Deltaq|/T^2","10*|Deltaq|/T^2","15*|Deltaq|/T^2","","mc"
"Qual e il massimo di |q_dot| per la quintica rest-to-rest in funzione di T?","30 * |Deltaq| / (16 * T)","Deltaq / (2 * T)","15 * |Deltaq| / T","Deltaq / T","","mc"
"Qual e la formula corretta per T_a_i (bound da accelerazione) nella quintica coordinata?","T_a_i = sqrt(60 * |k| * |Deltaq_i| / A_max_i) con |k|=0.0962","T_a_i = sqrt(30 * |Deltaq_i| / A_max_i)","T_a_i = 60 * |Deltaq_i| / A_max_i","T_a_i = sqrt(|Deltaq_i| / A_max_i)","","mc"
"Per una quintica coordinata con Deltaq_1 = 1 rad, V_max_1 = 2 rad/s: T_v_1 = 30*1/(16*2) = ?","0.9375 s","0.5 s","1.5 s","0.75 s","","mc"
"Il tempo minimo T* per la quintica coordinata si calcola come:","T* = max_i{ max(T_v_i, T_a_i) }","T* = sum_i{ T_v_i }","T* = max_i{ T_v_i }","T* = min_i{ T_v_i + T_a_i }","","mc"
"Perche nella quintica si usa il grado 5 e non il grado 4?","Con grado 5 dispari il profilo e simmetrico e si soddisfano tutte le 6 condizioni","Il grado 4 non converge","Per tradizione","Il grado 4 e troppo lento","","mc"
"Un giunto si muove da q_i=0 a q_f=pi in T=2s con cubica rest-to-rest. Velocita massima e instante:","v_max = 3*pi/4 rad/s a t = 1 s","v_max = pi/2 rad/s a t = 1 s","v_max = 3*pi/2 rad/s a t = 1 s","v_max = 3*pi/4 rad/s a t = 0.5 s","","mc"
"Per lo stesso giunto (cubica, q_i=0, q_f=pi, T=2s), il modulo dell'accelerazione massima vale:","a_max = 3*pi/2 rad/s^2 (ai punti t~0.21T e t~0.79T)","a_max = 3*pi/4 rad/s^2","a_max = pi rad/s^2","a_max = 3*pi rad/s^2","","mc"
"Per la cubica generale con v_i != 0 e v_f != 0, il coefficiente a_2 vale:","(3*Deltaq - (2*v_i + v_f)*T) / T^2","(3*Deltaq + (v_i + v_f)*T) / T^2","(Deltaq - v_i*T) / T^2","(-2*Deltaq + (v_i+v_f)*T) / T^3","","mc"
"Nella quintica q(tau) = q_i + Deltaq*(10*tau^3 - 15*tau^4 + 6*tau^5), verifica che q(1) = q_f:","10 - 15 + 6 = 1, quindi q(1) = q_i + Deltaq = q_f","10 + 15 + 6 = 31, non funziona","Solo se Deltaq = 1","La formula non e rest-to-rest","","mc"
"formula: scrivi il polinomio cubico rest-to-rest in tau","3\tau^2 - 2\tau^3","","","","","formula"
"formula: scrivi il polinomio quintico rest-to-rest in tau","10\tau^3 - 15\tau^4 + 6\tau^5","","","","","formula"
"formula: velocita massima cubica rest-to-rest in funzione di Deltaq e T","\frac{3\,|\Delta q|}{2\,T}","","","","","formula"
"formula: velocita massima quintica rest-to-rest in funzione di Deltaq e T","\frac{30\,|\Delta q|}{16\,T}","","","","","formula"
"formula: T_v_i per quintica coordinata (bound da velocita)","\frac{30\,|\Delta q_i|}{16\,V_{max,i}}","","","","","formula"
"formula: T_a_i per quintica coordinata (bound da accelerazione)","\sqrt{\frac{60\,|k|\,|\Delta q_i|}{A_{max,i}}} \quad |k|=0.0962","","","","","formula"
"Per un path circolare, durante la fase di cruise (s_ddot = 0) l'unica accelerazione e quella centripeta V^2/R.","V","","","","","tf"
"Per un robot RP con path lineare, la colonna del Jacobiano relativa al giunto R ha norma q_2.","V","","","","","tf"
"Per un robot con giunto che inverte il moto lungo il path, la distanza totale percorsa e sempre uguale a |q_f - q_i|.","F","","","","","tf"
"Per path lineare nel joint space con s in [0,1], la velocita EE si calcola come p_dot = J(q) * q'(s) * s_dot.","V","","","","","tf"
"Nel caso di path circolare, V = sqrt(R * a_max) implica che l'accelerazione tangenziale disponibile in rampa e zero.","V","","","","","tf"
"Per un robot RP con path lineare, il bound su V viene dal punto del path dove q_2 e minimo (non massimo).","V","","","","","tf"
"Per un path circolare di raggio R, durante la cruise, il vincolo sull'accelerazione cartesiana impone:","V^2/R <= a_max","V/R <= a_max","V^2 <= a_max * R^2","2*V/R <= a_max","","mc"
"Il bound ottimale sulla velocita per un path circolare e:","V = min(v_max, sqrt(R * a_max))","V = min(v_max, R * a_max)","V = sqrt(R * a_max) sempre","V = v_max sempre","","mc"
"Per un path circolare con R = 0.5 m, a_max = 2 m/s^2, v_max = 3 m/s. Il bound su V e:","V = 1 m/s (limitata da sqrt(R*a_max) = sqrt(1) = 1)","V = 3 m/s (limitata da v_max)","V = 2 m/s","V = 0.5 m/s","","mc"
"Nel caso precedente (R=0.5, a_max=2, V=1 m/s), l'accelerazione tangenziale disponibile vale:","A = sqrt(a_max^2 - V^4/R^2) = sqrt(4 - 4) = 0","2 m/s^2","sqrt(3) m/s^2","1 m/s^2","","mc"
"Se V = sqrt(R * a_max) per un path circolare, cosa implica per A?","A = 0: soluzione b-c-b non applicabile in forma chiusa, serve approccio numerico","A = a_max","A = a_max/2","A non e definita","","mc"
"Esame Feb 2026 caso i: R=1m, v_max=1.2m/s, a_max=3m/s^2. V = min(1.2, sqrt(3)) = 1.2. A = ?","A = sqrt(9 - 1.2^4) = sqrt(9 - 2.0736) = sqrt(6.9264) = 2.632 m/s^2","A = 3 m/s^2","A = sqrt(3) m/s^2","A = 0","","mc"
"Esame Feb 2026 caso ii: R=0.5m, v_max=1.6m/s, a_max=6m/s^2. V = min(1.6, sqrt(3)) = ?","V = sqrt(3) = 1.732 > 1.6, quindi V = v_max = 1.6 m/s","V = sqrt(3) = 1.732 m/s","V = 6 m/s","V = 0.5 m/s","","mc"
"Esame Feb 2026 caso ii con V=1.6, A calcolata=2.128. L=0.393m, V^2/A=1.202m > L. Quale profilo?","Bang-bang (no cruise): T_bar = sqrt(4*L/A)","Bang-coast-bang","Cubica","Non realizzabile","","mc"
"Cosa si intende per worst-case geometrico nel Caso C (bounds da giunti, path cartesiano)?","Il punto del path dove il Jacobiano produce il bound piu stretto su s_dot (min di ||j_i||)","Il punto dove la velocita e massima","Il punto di inizio del path","Il punto finale del path","","mc"
"Il peggior caso geometrico per un robot RP su path lineare e:","Il punto del path piu vicino all'origine (q_2 minimo)","Il punto finale del path","Il punto iniziale del path","Il punto medio geometrico","","mc"
"Per un robot RP, la norma della colonna 1 del Jacobiano e ||j_1|| = q_2. Perche il worst case e q_2 minimo?","Perche V = ||j_1|| * V_1 = q_2 * V_1: con q_2 minimo il bound su s_dot e piu restrittivo","Perche la velocita e massima li","Perche il giunto 2 si ferma li","Perche la curvatura e massima li","","mc"
"Un robot RP ha q_2_min = 0.3 m lungo il path e V_1 = 1.5 rad/s. Il bound V sulla velocita scalare e:","V = 0.3 * 1.5 = 0.45 m/s","V = 1.5 / 0.3 = 5 m/s","V = 0.3 m/s","V = 1.5 m/s","","mc"
"Esame Jul 2024: robot RP, path lineare, p_i=(0.6,-0.3), p_f=(-0.3,0.6). Il punto medio e p_m=(0.15,0.15). q_2_min = ?","q_2_min = sqrt(0.15^2+0.15^2) = 0.2121 m","q_2_min = 0.6708 m","q_2_min = 0.3 m","q_2_min = 0.15 m","","mc"
"Giunto che inverte: q_i=0, q_m=1.5 rad, q_f=0.5 rad. Distanza totale percorsa d_i:","d_i = |1.5-0| + |0.5-1.5| = 1.5 + 1.0 = 2.5 rad","d_i = |q_f - q_i| = 0.5 rad","d_i = 1.5 rad","d_i = 2.0 rad","","mc"
"Perche per il robot RP nel Jul 2024 la distanza di q_2 NON e |q_f - q_i| = 0?","Perche lungo il path lineare q_2 si accorcia (il path si avvicina all'origine) poi si rialllunga: va da 0.671 a 0.212 a 0.671","Perche q_2 e un giunto rotoidale","Perche il path non e lineare","Perche q_f != q_i","","mc"
"Per il Caso C, la formula per il bound su s_dot dato il giunto limitante i* e:","V = min_s{ V_i* / ||j_{i*}(s)|| } = ||j_{i*}||_min * V_{i*}... wait: V = ||j_{i*}||_min * V_{i*}","V = max_i(V_i)","V = sum_i(V_i)","V = V_{i*} / L","","mc"
"Per un path multi-giunto q(s) con bounds |q_dot_i| <= v_i, il bound generale su |s_dot| e:","min_i( v_i_max / max_s|q_i'(s)| )","max_i( v_i_max / q_i'(s) )","sum_i( v_i_max )","min_i( q_i'(s) )","","mc"
"Dato q'(s) = [2s, 3] con |q_dot_1|<=2 e |q_dot_2|<=6, il bound su |s_dot| in funzione di s e:","min(2/(2s), 6/3) = min(1/s, 2)","min(2, 6) = 2","max(1/s, 2)","2s","","mc"
"Per il path q(s)=[s^2,3s] con |q_dot_1|<=2, |q_dot_2|<=6: max di |q_1'(s)|=|2s| a s in [0,1] e:","s=1, valore = 2","s=0","s=0.5","Non ha massimo","","mc"
"Dati M_nu_1 = 2 e v_1_max = 4, il bound su |s_dot| dal giunto 1 e:","v_1_max / M_nu_1 = 4/2 = 2","4","0.5","8","","mc"
"formula: velocita cartesiana al punto medio del path lineare in funzione di V L p_f p_i","\frac{V}{L}(p_f - p_i)","","","","","formula"
"formula: accelerazione cartesiana per path circolare ||p_ddot|| in funzione di s_dot s_ddot R","\sqrt{\ddot{s}^2 + \frac{\dot{s}^4}{R^2}}","","","","","formula"
"formula: bound ottimale V per path circolare","\min\!\left(v_{max},\sqrt{R\,a_{max}}\right)","","","","","formula"
"formula: accelerazione tangenziale disponibile A per path circolare dato V","\sqrt{a_{max}^2 - \frac{V^4}{R^2}}","","","","","formula"
"formula: bound su s_dot dato giunto limitante i* con norma colonna ||j_{i*}||_min","V = \|j_{i^*}\|_{\min} \cdot V_{i^*}","","","","","formula"
"L'emergency stop si ottiene applicando la massima decelerazione disponibile a partire dall'istante T_0.","V","","","","","tf"
"Il robot si considera completamente fermo nell'emergency stop quando si ferma l'ULTIMO giunto.","V","","","","","tf"
"In un emergency stop tutti i giunti si arrestano sempre simultaneamente nello stesso istante.","F","","","","","tf"
"Emergency stop da T_0 con q_dot_i(T_0) = 2 rad/s e A_max_i = 4 rad/s^2. T_s_i - T_0 = ?","0.5 s (= 2/4)","1 s","2 s","0.25 s","","mc"
"Emergency stop con q_dot_i(T_0) = -3 rad/s (negativo) e A_max = 6 rad/s^2. T_s_i - T_0 = ?","0.5 s (= |-3|/6)","3 s","1 s","0.33 s","","mc"
"Emergency stop da T_0 con q_dot(T_0) = 4 rad/s, A_max = 8 rad/s^2. T_s - T_0 = ?","0.5 s (= 4/8)","2.0 s","0.25 s","1.0 s","","mc"
"Esame Jun 2025: a T_0=0.435s il giunto 1 ha q_dot_1=0.953 rad/s con A_max_1=3. Quando si ferma?","T_s1 = T_0 + 0.953/3 = T_0 + 0.318 s = 0.753 s","T_s1 = T_0 + 0.5 s","T_s1 = T_0 + 1 s","T_s1 = T_0 + 0.2 s","","mc"
"Nel Jun 2025, il giunto 2 ha q_dot_2 = -1.429 rad/s e A_max_2 = 6. T_s2 - T_0 = ?","0.238 s (= 1.429/6). Il giunto 2 si ferma PRIMA del giunto 1","0.318 s","0.5 s","1 s","","mc"
"Nel Jun 2025, T_s = max(T_s1, T_s2). Qual e il robot completamente fermo?","T_s = T_s1 = 0.753 s (il giunto 1 e il piu lento a fermarsi)","T_s = T_s2 = 0.673 s","T_s = 0.5 s","T_s = T_0 + 1 s","","mc"
"Nella coordinazione con T_s_i = [0.9, 0.6, 0.75] s, il robot si ferma a:","T_s = 0.9 s (max dei tre)","T_s = 0.6 s","T_s = 0.75 s","T_s = media","","mc"
"formula: tempo di arresto del giunto i nell'emergency stop","T_{s,i} = T_0 + \frac{|\dot{q}_i(T_0)|}{A_{max,i}}","","","","","formula"
"Per una traiettoria rest-to-rest, la velocita cartesiana a t=0 e t=T e sempre zero.","V","","","","","tf"
"Il punto medio t=T/2 di un profilo trapezoidale simmetrico e sempre nella fase di cruise.","V","","","","","tf"
"In un profilo trapezoidale, a t=T_r l'accelerazione tangenziale diventa zero.","V","","","","","tf"
"Qual e la velocita cartesiana al punto medio del path (t=T/2) per un profilo trapezoidale simmetrico?","p_dot_m = V * (p_f - p_i) / L (la velocita scalare e V, direzione tangente al path)","p_dot_m = V / L","p_dot_m = V * L","p_dot_m = (p_f - p_i) * L / V","","mc"
"Dato p_dot_m, come si trovano le velocita dei giunti al punto medio?","q_dot_m = J^{-1}(q_m) * p_dot_m  con q_m dalla IK di p_m","q_dot_m = J(q_m) * p_dot_m","q_dot_m = J^T(q_m) * p_dot_m","q_dot_m = p_dot_m / L","","mc"
"Per un path circolare a t=T_r (inizio cruise): s_dot=V, s_ddot=0. ||p_ddot|| vale:","V^2/R (solo accelerazione centripeta)","A","sqrt(A^2 + V^4/R^2)","0","","mc"
"Per un path circolare a t=0+ (inizio accelerazione): s_dot=0, s_ddot=A. ||p_ddot|| vale:","A (solo accelerazione tangenziale)","A + V^2/R","sqrt(A^2 + V^4/R^2)","V^2/R","","mc"
"Per un path circolare al punto medio (s_dot=V, s_ddot=0 in cruise), ||p_ddot||_max vale:","sqrt(A^2 + V^4/R^2)... ERRATO. A t=T/2 siamo in cruise: ||p_ddot|| = V^2/R","A","0","sqrt(A^2 + (V^2/R)^2)","","mc"
"Esame Jul 2025: A=pi/2, V=pi/2, R=1m. A t=T/2 (cruise), ||p_ddot|| = V^2/R = ?","(pi/2)^2 / 1 = pi^2/4 ≈ 2.467 m/s^2","pi/2 m/s^2","pi m/s^2","sqrt(A^2 + V^4/R^2)","","mc"
"Esame Jul 2025: ||p_ddot||_max si raggiunge a t=T/2 in cruise o a t=0 in rampa?","A t=T/2 in cruise: solo centripeta V^2/R. A t=0: solo tangenziale A. Max = sqrt(A^2+(V^2/R)^2) a meta rampa","Solo a t=0","Solo a t=T/2","Sono sempre uguali","","mc"
"Per verificare se un path e percorribile con il profilo desiderato, la prima cosa da fare e:","Confrontare L con V^2/A per decidere tra b-c-b e b-b","Calcolare la curvatura","Applicare la IK","Verificare la manipolabilita","","mc"
"Qual e il pattern dell'esame Jan 2026 sulle traiettorie?","Trapezoidale con riscalamento a T_r fisso: V_bar = L/(T_bar - T_r), A_bar = V_bar/T_r","Bang-bang con path circolare","Quintica coordinata","Path lineare con bounds da giunti","","mc"
"Qual e il pattern dell'esame Feb 2026 sulle traiettorie?","Path circolare: scegliere b-c-b vs b-b tramite check L vs V^2/A, con V=min{vmax, sqrt(R*amax)}","Trapezoidale con Tr fisso","Quintica + emergency stop","Coordinazione 2 giunti","","mc"
"Qual e il pattern dell'esame Jul 2025 sulle traiettorie?","Path circolare bang-bang. ||p_ddot||_max = sqrt(A^2+(V^2/R)^2) al punto medio della rampa","Trapezoidale joint space","LTS","Cubica con via-points","","mc"
"Qual e il pattern dell'esame Jun 2025 sulle traiettorie?","Quintica coordinata + emergency stop. T* = max{T_v_i, T_a_i} su tutti i giunti","Trapezoidale con Tr fisso","Path circolare b-c-b","Cubica rest-to-rest","","mc"
"Qual e il pattern dell'esame Jul 2024 sulle traiettorie?","Path lineare robot RP, bounds da giunti. V = q_2_min * V_1. Giunto 2 inverte il moto","Bang-bang circolare","Quintica coordinata","LTS","","mc"
"Qual e il pattern dell'esame Sep 2024 sulle traiettorie?","Coordinazione 2 giunti trapezoidali. T = max{T_min,2, T_min,3}. Riscala il piu veloce con k = T/T_min","Path circolare","Quintica","Emergency stop","","mc"
"Nella cubica q(tau), perche l'accelerazione puo essere discontinua a t=0 e t=T ma non dentro (0,T)?","Perche si impongono solo 4 condizioni (posizione e velocita agli estremi), non l'accelerazione","Perche la cubica ha grado dispari","Perche T e finito","Perche Deltaq puo essere qualsiasi","","mc"
"Perche il profilo trapezoidale non e derivabile (ha discontinuita di accelerazione)?","Perche usa accelerazione costante a tratti (bang): la transizione istantanea crea discontinuita","Perche V non e costante","Perche T_r e troppo piccolo","Perche il path non e lineare","","mc"
"Nella coordinazione, perche il giunto piu lento mantiene il suo profilo ottimale e gli altri vengono rallentati?","Perche il giunto piu lento lavora gia al massimo dei suoi limiti (k=1): non puo accelerare","Perche e piu vicino alla base","Per convenzione","Perche ha la maggiore inerzia","","mc"
